Designator,Mid X,Mid Y,Rotation,Layer
D1,135.405825,-83.188033,90.0,bottom
H1,135.8,-91.5,0.0,top
H2,153.701657,-76.99501,0.0,top
H3,136.5,-77.0,0.0,top
H4,154.5,-91.6,0.0,top
J1,151.499988,-87.786989,0.0,top
J2,148.959988,-87.786989,0.0,top
J3,146.419988,-87.786989,0.0,top
J4,143.879988,-87.786989,0.0,top
J5,141.339988,-87.786989,0.0,top
J6,138.799988,-87.786989,0.0,top
J7,145.23,-82.75,180.0,bottom
R1,154.9,-83.2,270.0,bottom
