Designator,Footprint,Quantity,Value,LCSC Part #
D1,1206,1,LED,
"J1, J2, J3, J4, J5, J6",CPG47THB,6,CPG-47-TH-B,
J7,"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",1,Conn_01x06,
R1,1206,1,1K,
