pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
101.7325,-68.85,-90.0,top,J8,,,"TerminalBlock_Phoenix_MPT-0,5-6-2.54_1x06_P2.54mm_Horizontal",Conn_01x06,tht
240.3675,-88.445,90.0,top,J9,,,TerminalBlock_Phoenix_MKDS-3-2-5.08_1x02_P5.08mm_Horizontal,Conn_01x02,tht
192.8,-110.0,180.0,top,L1,,,IND-SMD_L13.5-W12.6_125CDMCC-DS,47u,tht
215.4,-51.8,90.0,top,L2,,,IND-SMD_L17.0-W17.0_YSPIA1770-100M,22uH,tht
194.4,-51.8,90.0,top,L3,,,IND-SMD_L17.0-W17.0_YSPIA1770-100M,22uH,tht
236.2,-51.8,90.0,top,L4,,,IND-SMD_L17.0-W17.0_YSPIA1770-100M,22uH,tht
194.8805,-89.865,90.0,top,Q1,,,PG-TDSON-8_L5.0-W6.0-P1.27-BL-EP,NMOS,tht
159.76,-88.2345,180.0,top,Q2,,,DFN-8_L5.7-W4.9-P1.27-LS6.1-BL,PMOS,tht
108.2,-47.5,-90.0,top,Q3,,,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,NMOS,tht
209.95,-101.5,90.0,top,R1,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,249k,smt
231.8,-103.7,-90.0,top,R10,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
241.1,-103.5,90.0,top,R11,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
209.2,-82.6,180.0,top,R12,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
236.4,-103.5,-90.0,top,R13,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
177.4,-106.2,-90.0,top,R14,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
226.8,-103.9,-90.0,top,R15,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
241.6,-35.1,90.0,top,R16,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,390,smt
212.0,-36.7,180.0,top,R17,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,390,smt
189.6,-36.3,180.0,top,R18,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,390,smt
128.8,-68.7,90.0,top,R19,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
224.8,-82.4,90.0,top,R2,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,499k,smt
144.5,-98.7,0.0,top,R20,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
150.7,-98.7,180.0,top,R21,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
184.2,-73.6,90.0,top,R22,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,4k75,smt
182.5,-89.8,-90.0,top,R23,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,95k3,smt
186.0,-89.8,90.0,top,R24,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
147.4,-110.5,0.0,top,R25,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10K,smt
168.8,-87.6,180.0,top,R26,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
168.8,-90.7,0.0,top,R27,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
148.96,-86.3,180.0,top,R28,,,TO-220-2_L10.1-W4.5-P5.08-L,25 Ohm,tht
204.15,-101.7,-90.0,top,R29,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,105k,smt
223.2,-76.0,90.0,top,R3,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,61k9,smt
201.0,-100.0,90.0,top,R30,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,6k49,smt
111.8,-47.0,90.0,top,R31,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
221.8,-103.9,-90.0,top,R32,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k,smt
219.8,-76.0,90.0,top,R4,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,27k4,smt
216.4,-76.0,90.0,top,R5,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,154,smt
213.2,-75.9,90.0,top,R6,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1k4,smt
184.6,-98.9,180.0,top,R7,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,133k,smt
191.8,-101.4,0.0,top,R8,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,52k3,smt
191.8,-98.8,180.0,top,R9,,,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,10k,smt
197.8,-100.1,0.0,top,TP1,,,TestPoint_Pad_D2.5mm,TestPoint,tht
204.95,-107.1,180.0,top,U1,,,DGQ10_1P88X1P57_TEX,TPS54140ADGQR,smt
218.9534,-88.15,180.0,top,U2,,,VQFN24_RGE_TEX,PTPS259830LNRGER,smt
169.0,-106.4,180.0,top,U3,,,SOT_RG1_DIO,AP2112K-3.3TRG1,smt
124.1275,-98.0,0.0,top,U4,,None,MODULE_NUCLEO-L432KC,NUCLEO-L432KC,tht
122.863626,-65.15,0.0,top,U5,,TSSOP-14 Texas Instruments,SOP65P640X120-14N,TXS0104EPWR,smt
196.45,-82.2,-90.0,top,U6,,SOT-23-6 Texas Instruments,SOT95P280X145-6N,LM74700QDBVTQ1,smt
148.3,-104.6,-90.0,top,U7,,,SOIC8-N_MC_MCH,25LC256-I/SN,smt
122.4,-44.8,180.0,top,U8,,,D16,AM26LS32ACDR,smt
176.5,-92.3,0.0,top,U9,,,D8,TL431AIDR,smt
